case,mcl_1st,mcl_4th,mcl_wake,mcd_1st,mcd_4th,mcd_wake,mcmh_1st,mcmh_4th,mcmh_wake,mcmv_1st,mcmv_4th,mcmv_wake
phi90.0__ar3.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,0.98423019,0.98423019,0,2.1030315,2.1030315,0,1.0510419,1.0510419,0,2.3183676,2.3183676,0
phi90.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,1.429754,1.429754,0,2.1510363,2.1510363,0,1.4341457,1.4341457,0,2.463132,2.463132,0
phi90.0__ar5.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,1.4809293,1.4809293,0,2.0602595,2.0602595,0,1.4938874,1.4938874,0,2.3408032,2.3408032,0
phi90.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.3071964,1.3071964,0,2.0585199,2.0585199,0,1.3929869,1.3929869,0,2.489169,2.489169,0
phi90.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.3802934,1.3802934,0,2.0111948,2.0111948,0,1.4678373,1.4678373,0,2.4084481,2.4084481,0
phi90.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.5347172,1.5347172,0,2.0314961,2.0314961,0,1.5555105,1.5555105,0,2.3377038,2.3377038,0
phi90.0__ar3.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,1.302033,1.302033,0,1.8995977,1.8995977,0,1.430784,1.430784,0,2.3845344,2.3845344,0
phi90.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,1.4036582,1.4036582,0,1.9117079,1.9117079,0,1.5050386,1.5050386,0,2.3319334,2.3319334,0
phi90.0__ar5.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,1.559434,1.559434,0,2.0399261,2.0399261,0,1.6481463,1.6481463,0,2.4601342,2.4601342,0
phi140.0__ar3.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,1.4969674,1.4969674,0,2.0214086,2.0214086,0,1.459901,1.459901,0,2.196931,2.196931,0
phi140.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,1.6243132,1.6243132,0,2.0556543,2.0556543,0,1.5899536,1.5899536,0,2.2653928,2.2653928,0
phi140.0__ar5.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,1.6652351,1.6652351,0,2.1126752,2.1126752,0,1.5705676,1.5705676,0,2.1512099,2.1512099,0
phi140.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.4843035,1.4843035,0,1.9647405,1.9647405,0,1.5340089,1.5340089,0,2.2441556,2.2441556,0
phi140.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.5950471,1.5950471,0,2.006545,2.006545,0,1.5926809,1.5926809,0,2.2240697,2.2240697,0
phi140.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.6156139,1.6156139,0,1.9605745,1.9605745,0,1.5677919,1.5677919,0,2.1133996,2.1133996,0
phi140.0__ar3.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,1.4250186,1.4250186,0,1.7996803,1.7996803,0,1.5051836,1.5051836,0,2.1386979,2.1386979,0
phi140.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,1.5290539,1.5290539,0,1.8841748,1.8841748,0,1.5727672,1.5727672,0,2.17511,2.17511,0
phi140.0__ar5.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,1.5852117,1.5852117,0,1.9413286,1.9413286,0,1.6114486,1.6114486,0,2.2176996,2.2176996,0
