case,mcl_1st,mcl_4th,mcl_wake,mcl_wake_mid,mcd_1st,mcd_4th,mcd_wake,mcd_wake_mid,mcmh_1st,mcmh_4th,mcmh_wake,mcmh_wake_mid,mcmv_1st,mcmv_4th,mcmv_wake,mcmv_wake_mid
phi90.0__ar5.0_ofs0.0_r1h0.4__Re5000.0_sinu,0.63935814,0.69491315,0.055555016,-0.039154147,1.2172276,1.3084573,0.09122972,-0.039154147,0.73807526,0.80632409,0.068248833,-0.025761082,1.1349615,1.32502,0.19005847,0.098254518
phi90.0__ar5.0_ofs0.0_r1h0.5__Re5000.0_sinu,0.77465505,0.85559967,0.080944619,0.019900737,1.2797806,1.2834849,0.0037042735,0.019900737,0.84108143,0.95488472,0.11380329,0.043757169,1.2218329,1.2991766,0.077343729,0.047385748
phi90.0__ar5.0_ofs0.0_r1h0.6__Re5000.0_sinu,0.83772909,0.8372179,-0.00051118832,0.014100413,1.2386057,1.2247069,-0.013898839,0.014100413,0.92600521,0.96337563,0.037370416,0.035071332,1.2326613,1.2853729,0.052711597,0.079430095
phi140.0__ar5.0_ofs0.0_r1h0.4__Re5000.0_sinu,0.84375696,0.83288183,-0.010875122,-0.01332418,1.2376815,1.2058302,-0.031851361,-0.01332418,0.90583304,0.9443006,0.038467562,0.034536597,1.0986691,1.1421116,0.043442575,0.039067887
phi140.0__ar5.0_ofs0.0_r1h0.5__Re5000.0_sinu,0.92769218,0.91571233,-0.011979841,0.006868898,1.218565,1.1913432,-0.027221849,0.006868898,0.96243361,0.99283011,0.030396496,0.044122318,1.1233267,1.152196,0.028869278,0.05459632
phi140.0__ar5.0_ofs0.0_r1h0.6__Re5000.0_sinu,0.94024362,0.87654996,-0.063693661,-0.017536229,1.1863554,1.12278,-0.063575368,-0.017536229,1.0021449,0.97974516,-0.022399741,0.013939191,1.140432,1.1269808,-0.013451145,0.031882007
phi90.0__ar5.0_ofs0.0_r1h0.4__Re5000.0_trapzoidal,0.40220215,0.52739052,0.12518837,0.01699372,1.1314283,1.3917436,0.26031533,0.01699372,0.53662936,0.65409131,0.11746196,0.027312476,1.0541254,1.3492829,0.29515745,0.15008936
phi90.0__ar5.0_ofs0.0_r1h0.5__Re5000.0_trapzoidal,0.48516295,0.64870838,0.16354544,0.066693195,1.1910239,1.3849693,0.19394538,0.066693195,0.57659074,0.74097691,0.16438616,0.075206063,1.1257663,1.3737701,0.24800382,0.15103402
phi90.0__ar5.0_ofs0.0_r1h0.6__Re5000.0_trapzoidal,0.57842104,0.75399791,0.17557687,0.11463688,1.1533231,1.3218391,0.16851593,0.11463688,0.65789846,0.86605993,0.20816148,0.13498984,1.1456141,1.3976372,0.25202308,0.20332351
phi140.0__ar5.0_ofs0.0_r1h0.4__Re5000.0_trapzoidal,0.60340624,0.6188006,0.015394359,0.026500533,1.209699,1.2960728,0.086373782,0.026500533,0.69075377,0.75232905,0.061575282,0.069534724,1.0707755,1.2082992,0.13752371,0.15870157
phi140.0__ar5.0_ofs0.0_r1h0.5__Re5000.0_trapzoidal,0.67965713,0.73063203,0.050974893,0.06063322,1.1393218,1.2822331,0.14291126,0.06063322,0.72374935,0.80869631,0.084946961,0.09104215,1.0590086,1.2446888,0.18568027,0.19755254
phi140.0__ar5.0_ofs0.0_r1h0.6__Re5000.0_trapzoidal,0.72098088,0.80782983,0.086848953,0.10107374,1.1394328,1.2989817,0.15954892,0.10107374,0.76546993,0.89037894,0.12490901,0.13247168,1.0933189,1.3104816,0.21716267,0.23671302
