case,mcl_1st,mcl_4th,mcl_wake,mcd_1st,mcd_4th,mcd_wake,mcmh_1st,mcmh_4th,mcmh_wake,mcmv_1st,mcmv_4th,mcmv_wake
phi90.0__ar3.0_ofs0.0_r1h0.4__Re3000.0_sinu,1.4895406,1.4895406,0,1.5797791,1.5797791,0,1.5854726,1.5854726,0,2.1431326,2.1431326,0
phi90.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_sinu,1.8316392,1.8316392,0,1.9847711,1.9847711,0,1.8449057,1.8449057,0,2.2865123,2.2865123,0
phi90.0__ar5.0_ofs0.0_r1h0.4__Re3000.0_sinu,1.8089436,1.8089436,0,1.909857,1.909857,0,1.8500078,1.8500078,0,2.1673228,2.1673228,0
phi90.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_sinu,1.7286432,1.7286432,0,1.9419843,1.9419843,0,1.7992447,1.7992447,0,2.2395029,2.2395029,0
phi90.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_sinu,1.7804113,1.7804113,0,1.8262343,1.8262343,0,1.8725648,1.8725648,0,2.1560145,2.1560145,0
phi90.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_sinu,1.7833637,1.7833637,0,1.7649002,1.7649002,0,1.8928342,1.8928342,0,2.1158011,2.1158011,0
phi90.0__ar3.0_ofs0.0_r1h0.6__Re3000.0_sinu,1.6537915,1.6537915,0,1.7335212,1.7335212,0,1.7981329,1.7981329,0,2.0875232,2.0875232,0
phi90.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_sinu,1.73647,1.73647,0,1.7228327,1.7228327,0,1.9254303,1.9254303,0,2.1365046,2.1365046,0
phi90.0__ar5.0_ofs0.0_r1h0.6__Re3000.0_sinu,1.7438419,1.7438419,0,1.6650363,1.6650363,0,1.9333708,1.9333708,0,2.1473606,2.1473606,0
phi140.0__ar3.0_ofs0.0_r1h0.4__Re3000.0_sinu,1.8998367,1.8998367,0,1.8868945,1.8868945,0,1.9207037,1.9207037,0,2.1889387,2.1889387,0
phi140.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_sinu,1.9391199,1.9391199,0,1.920677,1.920677,0,1.9408067,1.9408067,0,2.1509498,2.1509498,0
phi140.0__ar5.0_ofs0.0_r1h0.4__Re3000.0_sinu,1.9024828,1.9024828,0,1.9561917,1.9561917,0,1.8790036,1.8790036,0,2.0656697,2.0656697,0
phi140.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_sinu,1.849385,1.849385,0,1.8390504,1.8390504,0,1.9612282,1.9612282,0,2.1405187,2.1405187,0
phi140.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_sinu,1.9157813,1.9157813,0,1.8949941,1.8949941,0,1.9521576,1.9521576,0,2.1213783,2.1213783,0
phi140.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_sinu,1.8738708,1.8738708,0,1.8374259,1.8374259,0,1.9253036,1.9253036,0,2.0776105,2.0776105,0
phi140.0__ar3.0_ofs0.0_r1h0.6__Re3000.0_sinu,1.7528731,1.7528731,0,1.6784912,1.6784912,0,1.882395,1.882395,0,1.9902165,1.9902165,0
phi140.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_sinu,1.8160307,1.8160307,0,1.756203,1.756203,0,1.9605626,1.9605626,0,2.0992773,2.0992773,0
phi140.0__ar5.0_ofs0.0_r1h0.6__Re3000.0_sinu,1.8489802,1.8489802,0,1.8228995,1.8228995,0,1.9437574,1.9437574,0,2.1343295,2.1343295,0
